Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Start listener action : sampleBeforeTestCase,Chrome 112.0.0.0,,,2023-04-07 03:29:24,2023-04-07 03:29:24,0.001s,PASSED
"openBrowser("""")",Chrome 112.0.0.0,,,2023-04-07 03:29:25,2023-04-07 03:29:26,1.076s,PASSED
maximizeWindow(),Chrome 112.0.0.0,,,2023-04-07 03:29:26,2023-04-07 03:29:26,0.127s,PASSED
navigateToUrl(website),Chrome 112.0.0.0,,,2023-04-07 03:29:26,2023-04-07 03:29:28,2.077s,PASSED
"click(findTestObject(""Login-Repo/Login_button(homepage)""))",Chrome 112.0.0.0,,,2023-04-07 03:29:28,2023-04-07 03:29:31,3.053s,PASSED
"setText(findTestObject(""Login-Repo/Email_inputText""), validate_email_2)",Chrome 112.0.0.0,,,2023-04-07 03:29:31,2023-04-07 03:29:34,2.643s,PASSED
"setText(findTestObject(""Login-Repo/Password_inputText""), Valid_password)",Chrome 112.0.0.0,,,2023-04-07 03:29:34,2023-04-07 03:29:34,0.654s,PASSED
"click(findTestObject(""Login-Repo/RememberMe_check_button""))",Chrome 112.0.0.0,,,2023-04-07 03:29:34,2023-04-07 03:29:35,0.320s,PASSED
"click(findTestObject(""Login-Repo/Login_button(loginpage)""))",Chrome 112.0.0.0,,,2023-04-07 03:29:35,2023-04-07 03:29:35,0.342s,PASSED
delay(2),Chrome 112.0.0.0,,,2023-04-07 03:29:35,2023-04-07 03:29:37,2.011s,PASSED
"verifyElementText(findTestObject(""Login-Repo/Assert-verify-element/assert-error_incorrect-username-or-password""), ""Incorrect username or password."")",Chrome 112.0.0.0,,,2023-04-07 03:29:37,2023-04-07 03:29:37,0.296s,PASSED
closeBrowser(),Chrome 112.0.0.0,,,2023-04-07 03:29:37,2023-04-07 03:29:38,0.645s,PASSED
Video,Chrome 112.0.0.0,,,2023-04-07 03:29:40,2023-04-07 03:29:40,0.001s,PASSED
,,,,,,,
Test Cases/LOGIN/Login with email/LOG-09,Chrome 112.0.0.0,Login dengan email yang tidak terdaftar dan kata sandi yang salah.,,2023-04-07 03:29:40,2023-04-07 03:29:58,17.982s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 112.0.0.0,,,2023-04-07 03:29:40,2023-04-07 03:29:40,0.002s,PASSED
"openBrowser("""")",Chrome 112.0.0.0,,,2023-04-07 03:29:40,2023-04-07 03:29:41,1.154s,PASSED
maximizeWindow(),Chrome 112.0.0.0,,,2023-04-07 03:29:41,2023-04-07 03:29:41,0.140s,PASSED
navigateToUrl(website),Chrome 112.0.0.0,,,2023-04-07 03:29:41,2023-04-07 03:29:44,2.218s,PASSED
"click(findTestObject(""Login-Repo/Login_button(homepage)""))",Chrome 112.0.0.0,,,2023-04-07 03:29:44,2023-04-07 03:29:49,5.590s,PASSED
"setText(findTestObject(""Login-Repo/Email_inputText""), Invalid_email)",Chrome 112.0.0.0,,,2023-04-07 03:29:49,2023-04-07 03:29:52,2.313s,PASSED
